module,type,name,res_id,src,value,comments
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<br/>
                                    Start date:",,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<br/>
                                    duration:",,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<i class=""fa fa-bars fa-lg"" title=""Manage"" aria-label=""Manage""/>",,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__active,Active,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_partner__session_ids,Attended Sessions,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_users__session_ids,Attended Sessions,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__attendee_ids,Attendees,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__attendees_count,Attendees count,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__color,Color,,
openacademy,model,"ir.ui.menu,name",openacademy.configuration_menu,Configuration,,
openacademy,model,"ir.model,name",openacademy.model_res_partner,Contact,,
openacademy,model,"ir.actions.act_window,name",openacademy.contact_cat_list_action,Contact Tags,,
openacademy,model,"ir.ui.menu,name",openacademy.contact_cat_menu,Contact Tags,,
openacademy,model,"ir.actions.act_window,name",openacademy.contact_list_action,Contacts,,
openacademy,model,"ir.ui.menu,name",openacademy.contact_menu,Contacts,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__course_id,Course,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_form_view,Course Form,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_tree_view,Course Tree,,
openacademy,model,"ir.actions.act_window,name",openacademy.course_list_action,Courses,,
openacademy,model,"ir.ui.menu,name",openacademy.courses_menu,Courses,,
openacademy,model_terms,"ir.actions.act_window,help",openacademy.course_list_action,Create the first course,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__create_uid,Created by,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__create_uid,Created by,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__create_date,Created on,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__create_date,Created on,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,Delete,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__description,Description,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_form_view,Description,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__display_name,Display Name,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__display_name,Display Name,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__duration,Duration,,
openacademy,model,"ir.model.fields,help",openacademy.field_openacademy_session__duration,Duration in days,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__hours,Duration in hours,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__end_date,End Date,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_form_view,General,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_search_view,Group By,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__id,ID,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__id,ID,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__instructor_id,Instructor,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_partner__instructor,Instructor,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_users__instructor,Instructor,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course____last_update,Last Modified on,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session____last_update,Last Modified on,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__write_uid,Last Updated by,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__write_uid,Last Updated by,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__write_date,Last Updated on,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__write_date,Last Updated on,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_search_view,My Courses,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__name,Name,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__seats,Number of seats,,
openacademy,model,"ir.ui.menu,name",openacademy.main_openacademy_menu,Open Academy,,
openacademy,model,"ir.ui.menu,name",openacademy.openacademy_menu,Open Academy,,
openacademy,model,"res.groups,name",openacademy.group_manager,OpenAcademy / Manager,,
openacademy,model,"ir.model,name",openacademy.model_openacademy_course,OpenAcademy Courses,,
openacademy,model,"ir.model,name",openacademy.model_openacademy_session,OpenAcademy Sessions,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.openacademy_session_graph_view,Participations by Courses,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_form_view,Registered sessions,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__responsible_id,Responsible,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_search_view,Responsible,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_form_view,Schedule,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_calendar_view,Session Calendar,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_form_view,Session Form,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_gantt_view,Session Gantt,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_tree_view,Session Tree,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,Session name:,,
openacademy,model,"ir.actions.act_window,name",openacademy.session_list_action,Sessions,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__session_ids,Sessions,,
openacademy,model,"ir.ui.menu,name",openacademy.session_menu,Sessions,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_form_view,Sessions,,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.partner_instructor_form_view,Sessions,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__start_date,Start Date,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__taken_seats,Taken seats,,
openacademy,model,"res.partner.category,name",openacademy.teacher1,Teacher / Level 1,,
openacademy,model,"res.partner.category,name",openacademy.teacher2,Teacher / Level 2,,
openacademy,sql_constraint,openacademy.course,0,The course title must be unique,,
openacademy,sql_constraint,openacademy.course,0,The title of the course should not be the description,,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__name,Title,,
